Bank Code,Sort Code,Bank,Branch, Sort Code Component (Bank), Sort Code Component (Clearing Zone), Sort Code Component (Branch)
040100,040132,Ghana Commercial Bank,AKROPONGAKWAPIM,04,01,32
040100,040133,Ghana Commercial Bank,MAMPONGAKWAPIM,04,01,33
040100,040134,Ghana Commercial Bank,NSAWAM,04,01,34
040100,040135,Ghana Commercial Bank,AKOSOMBO,04,01,35
040100,040136,Ghana Commercial Bank,AKUSE,04,01,36
040100,040137,Ghana Commercial Bank,ABURI,04,01,37
040100,040138,Ghana Commercial Bank,WINNEBA,04,01,38
040100,040139,Ghana Commercial Bank,AGONA SWEDRU,04,01,39
040100,040140,Ghana Commercial Bank,ADA FOAH,04,01,40
040100,040141,Ghana Commercial Bank,KETA,04,01,41
040100,040142,Ghana Commercial Bank,SOGAKOPE,04,01,42
040100,040143,Ghana Commercial Bank,KASOA,04,01,43
040100,040144,Ghana Commercial Bank,DOME (KWABENYA),04,01,44
040100,040145,Ghana Commercial Bank,ABELENKPE,04,01,45
040100,040146,Ghana Commercial Bank,SAFE BOND (JUBILEE) TEMA,04,01,46
040100,040147,Ghana Commercial Bank,KASOA MAIN,04,01,47
040100,040148,Ghana Commercial Bank,KISSEIMAN,04,01,48
040100,040149,Ghana Commercial Bank,ADENTA MARKET,04,01,49
040100,040150,Ghana Commercial Bank,SPINTEX ROAD,04,01,50
040100,040151,Ghana Commercial Bank,ACCRA NORTH CIRCLE,04,01,51
040100,040158,Ghana Commercial Bank,DANSOMAN,04,01,58
040100,040159,Ghana Commercial Bank,NIMA BRANCH,04,01,59
040100,040160,Ghana Commercial Bank,NUNGUA,04,01,60
040100,040161,Ghana Commercial Bank,ABEKA LAPAZ,04,01,61
040100,040199,Ghana Commercial Bank,HEAD OFFICE,04,01,99
040100,040201,Ghana Commercial Bank,KOFORIDUA,04,02,01
040100,040202,Ghana Commercial Bank,AKIM ODA,04,02,02
040100,040203,Ghana Commercial Bank,KADE,04,02,03
040100,040204,Ghana Commercial Bank,NEW TAFO,04,02,04
040100,040205,Ghana Commercial Bank,NKAWKAW,04,02,05
040100,040206,Ghana Commercial Bank,ASAMANKESE,04,02,06
040100,040207,Ghana Commercial Bank,ANYINAM,04,02,07
040100,040208,Ghana Commercial Bank,SUHUM,04,02,08
040100,040209,Ghana Commercial Bank,KIBI,04,02,09
040100,040210,Ghana Commercial Bank,MPRAESO,04,02,10
040100,040211,Ghana Commercial Bank,DONKORKROM,04,02,11
040100,040301,Ghana Commercial Bank,CAPE COAST MAIN,04,03,01
040100,040302,Ghana Commercial Bank,UNIVERSITY OF CAPE COAST,04,03,02
040100,040303,Ghana Commercial Bank,ASSIN FOSU,04,03,03
040100,040304,Ghana Commercial Bank,BREMAN ASIKUMA,04,03,04
040100,040305,Ghana Commercial Bank,ABURA DUNKWA,04,03,05
040100,040306,Ghana Commercial Bank,SALTPOND,04,03,06
040100,040307,Ghana Commercial Bank,MANKESSIM,04,03,07
040100,040308,Ghana Commercial Bank,TWIFO PRASO,04,03,08
040100,040315,Ghana Commercial Bank,ELMINA,04,03,15
040100,040401,Ghana Commercial Bank,TAKORADI MAIN,04,04,01
040100,040402,Ghana Commercial Bank,TAKORADI HARBOUR,04,04,02
040100,040403,Ghana Commercial Bank,TAKORADI MARKET CIRCLE,04,04,03
040100,040404,Ghana Commercial Bank,SEKONDI,04,04,04
040100,040405,Ghana Commercial Bank,TARKWA,04,04,05
040100,040406,Ghana Commercial Bank,SAMREBOI,04,04,06
040100,040407,Ghana Commercial Bank,ENCHI,04,04,07
040100,040408,Ghana Commercial Bank,AXIM,04,04,08
040100,040409,Ghana Commercial Bank,HALFASSINI,04,04,09
040100,040410,Ghana Commercial Bank,PRESTEA,04,04,10
040100,040412,Ghana Commercial Bank,BOGOSO,04,04,12
040100,040413,Ghana Commercial Bank,DADIESO,04,04,13
040100,040414,Ghana Commercial Bank,BOGOSO,04,04,14
040100,040415,Ghana Commercial Bank,ELUBO,04,04,15
040100,040501,Ghana Commercial Bank,HO,04,05,01
040100,040502,Ghana Commercial Bank,AFLAO,04,05,02
040100,040503,Ghana Commercial Bank,DZODZE,04,05,03
040100,040504,Ghana Commercial Bank,ABOR,04,05,04
040100,040517,Ghana Commercial Bank,AKATSI,04,05,17
040100,040526,Ghana Commercial Bank,HO MARKET,04,05,26
040100,040530,Ghana Commercial Bank,HO POLYTECHNIC,04,05,30
040100,040555,Ghana Commercial Bank,CENTRAL PROCESSING CENT,04,05,55
040100,040601,Ghana Commercial Bank,KUMASI MAIN,04,06,01
040100,040602,Ghana Commercial Bank,ASAFO MARKET,04,06,02
040100,040603,Ghana Commercial Bank,KNUST KUMASI,04,06,03
040100,040604,Ghana Commercial Bank,KEJETIA,04,06,04
040100,040605,Ghana Commercial Bank,KONONGO,04,06,05
040100,040606,Ghana Commercial Bank,YEJI,04,06,06
040100,040607,Ghana Commercial Bank,MAMPONGASHANTI,04,06,07
040100,040608,Ghana Commercial Bank,SEFWI WIAWSO,04,06,08
040100,040609,Ghana Commercial Bank,BEKWAI,04,06,09
040100,040610,Ghana Commercial Bank,EFFIDUASEASHANTI,04,06,10
040100,040611,Ghana Commercial Bank,OBUASI,04,06,11
040100,040612,Ghana Commercial Bank,EJISU,04,06,12
040100,040613,Ghana Commercial Bank,NEW OFFINSO,04,06,13
040100,040614,Ghana Commercial Bank,EJURA,04,06,14
040100,040615,Ghana Commercial Bank,TEPA,04,06,15
040100,040616,Ghana Commercial Bank,AKUMADAN,04,06,16
040100,040617,Ghana Commercial Bank,JUASO,04,06,17
040100,040618,Ghana Commercial Bank,NEW EDUBIASE,04,06,18
040100,040619,Ghana Commercial Bank,AHINSANKUMASI,04,06,19
040100,040620,Ghana Commercial Bank,AGONAASHANTI,04,06,20
040100,040621,Ghana Commercial Bank,JUBILEE HOUSE,04,06,21
040100,040622,Ghana Commercial Bank,AGOGO,04,06,22
040100,040623,Ghana Commercial Bank,NKAWIE,04,06,23
040100,040624,Ghana Commercial Bank,DUNKWA-ON-OFFIN,04,06,24
040100,040625,Ghana Commercial Bank,HARPER ROAD-KUMASI,04,06,25
040100,040627,Ghana Commercial Bank,BANTAMA,04,06,27
040100,040628,Ghana Commercial Bank,TECH JUNCTION-KUMASI,04,06,28
040100,040701,Ghana Commercial Bank,SUNYANI,04,07,01
040100,040702,Ghana Commercial Bank,BECHEM,04,07,02
040100,040703,Ghana Commercial Bank,BEREKUM,04,07,03
040100,040704,Ghana Commercial Bank,DORMAA AHENKRO,04,07,04
040100,040705,Ghana Commercial Bank,DUAYAWNKWANTA,04,07,05
040100,040706,Ghana Commercial Bank,HWIDIEM,04,07,06
040100,040707,Ghana Commercial Bank,GOASO,04,07,07
040100,040709,Ghana Commercial Bank,MIM,04,07,09
040100,040710,Ghana Commercial Bank,JAPEKROM,04,07,10
040100,040711,Ghana Commercial Bank,WENCHI,04,07,11
040100,040712,Ghana Commercial Bank,KINTAMPO,04,07,12
040100,040713,Ghana Commercial Bank,NKORANZA,04,07,13
040100,040715,Ghana Commercial Bank,TECHIMAN,04,07,15
040100,040717,Ghana Commercial Bank,SANKORE,04,07,17
040100,040723,Ghana Commercial Bank,SAMPA,04,07,23
040100,040724,Ghana Commercial Bank,TECHIMAN MARKET,04,07,24
040100,040725,Ghana Commercial Bank,SUNYANI MARKET,04,07,25
040100,040801,Ghana Commercial Bank,TAMALE MAIN,04,08,01
040100,040802,Ghana Commercial Bank,YENDI,04,08,02
040100,040803,Ghana Commercial Bank,DAMONGO,04,08,03
040100,040804,Ghana Commercial Bank,SALAGA,04,08,04
040100,040805,Ghana Commercial Bank,TAMALE MARKET,04,08,05
040100,040806,Ghana Commercial Bank,BIMBILA,04,08,06
040100,040809,Ghana Commercial Bank,TAMALE HOSPITAL ROAD,04,08,09
040100,040901,Ghana Commercial Bank,BOLGATANGA,04,09,01
040100,040902,Ghana Commercial Bank,NAVRONGO,04,09,02
040100,040903,Ghana Commercial Bank,BAWKU,04,09,03
040100,040906,Ghana Commercial Bank,WALEWALE,04,09,06
040100,041001,Ghana Commercial Bank,WA,04,10,01
040100,041002,Ghana Commercial Bank,TUMU,04,10,02
040100,041003,Ghana Commercial Bank,LAWRA,04,10,03
040100,041004,Ghana Commercial Bank,BOLE,04,10,04
040100,041101,Ghana Commercial Bank,HOHOE,04,11,01
040100,041102,Ghana Commercial Bank,JASIKAN,04,11,02
040100,041103,Ghana Commercial Bank,KADJEBI,04,11,03
040100,041104,Ghana Commercial Bank,KPANDO,04,11,04
040100,041105,Ghana Commercial Bank,PEKI,04,11,05
040100,041106,Ghana Commercial Bank,NKWANTA,04,11,06
040100,041107,Ghana Commercial Bank,KETEKRACHI,04,11,07
040100,041108,Ghana Commercial Bank,DAMBAI,04,11,08
050100,050101,National Investment Bank,ACCRA MAIN,05,01,01
050100,050109,National Investment Bank,TEMA MAIN,05,01,09
050100,050111,National Investment Bank,OSU,05,01,11
050100,050112,National Investment Bank,FOREIGN,05,01,12
050100,050113,National Investment Bank,TEMA HABOUR AREA(AFKO),05,01,13
050100,050116,National Investment Bank,LOTTERIES,05,01,16
050100,050117,National Investment Bank,ABEKA,05,01,17
050100,050120,National Investment Bank,CLEARING UNIT,05,01,20
050100,050122,National Investment Bank,ADENTA,05,01,22
050100,050123,National Investment Bank,SPINTEX,05,01,23
050100,050124,National Investment Bank,WINNEBA ROAD,05,01,24
050100,050128,National Investment Bank,NORTH INDUSTRIAL AREA,05,01,28
050100,050131,National Investment Bank,HEAD OFFICE,05,01,31
050100,050132,National Investment Bank,DANSOMAN,05,01,32
050100,050150,National Investment Bank,HEAD OFFICE,05,01,50
050100,050151,National Investment Bank,ACCRA,05,01,51
050100,050159,National Investment Bank,TEMA,05,01,59
050100,050204,National Investment Bank,KOFORIDUA,05,02,04
050100,050218,National Investment Bank,AKIM ODA,05,02,18
050100,050252,National Investment Bank,KOFORIDUA,05,02,52
050100,050310,National Investment Bank,CAPE COAST,05,03,10
050100,050327,National Investment Bank,DUNKWA ON-OFFIN,05,03,27
050100,050407,National Investment Bank,TAKORADI,05,04,07
050100,050454,National Investment Bank,TAKORADI,05,04,54
050100,050503,National Investment Bank,HO,05,05,03
050100,050605,National Investment Bank,KUMASI,05,06,05
050100,050619,National Investment Bank,KUMASI CENTRAL,05,06,19
050100,050621,National Investment Bank,OBUASI,05,06,21
050100,050655,National Investment Bank,KUMASI SUAME,05,06,55
050100,050658,National Investment Bank,KUMASI AMAKOM,05,06,58
050100,050706,National Investment Bank,SUNYANI,05,07,06
050100,050715,National Investment Bank,TECHIMAN,05,07,15
050100,050725,National Investment Bank,WENCHI,05,07,25
050100,050726,National Investment Bank,KINTAMPO,05,07,26
050100,050730,National Investment Bank,NTOROSO,05,07,30
050100,050756,National Investment Bank,SUNYANI,05,07,56
050100,050808,National Investment Bank,TAMALE,05,08,08
050100,050857,National Investment Bank,TAKORADI,05,08,57
050100,050902,National Investment Bank,BOLGATANGA,05,09,02
050100,051014,National Investment Bank,WA,05,10,14
050100,051153,National Investment Bank,HOHOE,05,11,53
060100,060101,United Bank for Africa,HEAD OFFICE-RIDGE,06,01,01
060100,060102,United Bank for Africa,ACCRA CENTRAL,06,01,02
060100,060103,United Bank for Africa,TEMA,06,01,03
060100,060104,United Bank for Africa,ABOSSEYOKAI,06,01,04
060100,060107,United Bank for Africa,RING ROAD,06,01,07
060100,060110,United Bank for Africa,MADINA,06,01,10
060100,060113,United Bank for Africa,TESHIE,06,01,13
060100,060114,United Bank for Africa,SPINTEX ROAD,06,01,14
060100,060127,United Bank for Africa,UBA NORTH INDUSTRIAL AREA BUSINESS OFFICE,06,01,27
060100,060402,United Bank for Africa,TAKORADI,06,04,02
060100,060601,United Bank for Africa,KUMASI-ADUM,06,06,01
070100,070101,ARB Apex & Rural Banks,SOUTH RIDGE ACCRA,07,01,01
070100,070102,ARB Apex & Rural Banks,ACCRA,07,01,02
070100,070103,ARB Apex & Rural Banks,NYAKROM,07,01,03
070100,070104,ARB Apex & Rural Banks,ODUMASE-KROBO,07,01,04
070100,070105,ARB Apex & Rural Banks,APAM,07,01,05
070100,070106,ARB Apex & Rural Banks,ANUM,07,01,06
070100,070107,ARB Apex & Rural Banks,MAMFE,07,01,07
070100,070108,ARB Apex & Rural Banks,PRAMPRAM,07,01,08
070100,070109,ARB Apex & Rural Banks,DODOWA,07,01,09
070100,070110,ARB Apex & Rural Banks,KASSEH,07,01,10
070100,070111,ARB Apex & Rural Banks,BRAKWA,07,01,11
070100,070112,ARB Apex & Rural Banks,GOMOA-DOMINASE,07,01,12
070100,070113,ARB Apex & Rural Banks,AFRANSI,07,01,13
070100,070114,ARB Apex & Rural Banks,KWANYAKU,07,01,14
070100,070115,ARB Apex & Rural Banks,GOMOA-DAW,07,01,15
070100,070116,ARB Apex & Rural Banks,AWUMASA,07,01,16
070100,070117,ARB Apex & Rural Banks,AMASAMAN,07,01,17
070100,070118,ARB Apex & Rural Banks,ABOKOBI,07,01,18
070100,070119,ARB Apex & Rural Banks,AWUTU BAWJIASE,07,01,19
070100,070120,ARB Apex & Rural Banks,DABALE,07,01,20
070100,070121,ARB Apex & Rural Banks,MEPE,07,01,21
070100,070122,ARB Apex & Rural Banks,SENYA BREKU,07,01,22
070100,070123,ARB Apex & Rural Banks,ANLOGA,07,01,23
070100,070124,ARB Apex & Rural Banks,KASOA,07,01,24
070100,070125,ARB Apex & Rural Banks,LA,07,01,25
070100,070126,ARB Apex & Rural Banks,CEDI HOUSECED HOUSE,07,01,26
070100,070127,ARB Apex & Rural Banks,ACCRA,07,01,27
070100,070128,ARB Apex & Rural Banks,ACCRA,07,01,28
070100,070129,ARB Apex & Rural Banks,OYIBI AREA RURAL BANK LIMITED,07,01,29
070100,070130,ARB Apex & Rural Banks,MICROFIN RURAL BANK LIMITED,07,01,30
070100,070201,ARB Apex & Rural Banks,KOFORIDUA,07,02,01
070100,070202,ARB Apex & Rural Banks,AFOSU,07,02,02
070100,070203,ARB Apex & Rural Banks,KWAHU PEPEASE,07,02,03
070100,070204,ARB Apex & Rural Banks,ACHIASE,07,02,04
070100,070205,ARB Apex & Rural Banks,ASESEWA,07,02,05
070100,070206,ARB Apex & Rural Banks,KWAHU PRASO,07,02,06
070100,070207,ARB Apex & Rural Banks,KWABENG,07,02,07
070100,070208,ARB Apex & Rural Banks,OSINO,07,02,08
070100,070209,ARB Apex & Rural Banks,TEASE,07,02,09
070100,070210,ARB Apex & Rural Banks,AKIM SWEDRU,07,02,10
070100,070211,ARB Apex & Rural Banks,AMUANA PRASO,07,02,11
070100,070212,ARB Apex & Rural Banks,ASUOM,07,02,12
070100,070213,ARB Apex & Rural Banks,AYIREBI,07,02,13
070100,070214,ARB Apex & Rural Banks,NANKESE,07,02,14
070100,070215,ARB Apex & Rural Banks,ANOMA RURAL BANK LTD-KWEEHWEE,07,02,15
070100,070216,ARB Apex & Rural Banks,OFRAMASE,07,02,16
070100,070217,ARB Apex & Rural Banks,NEW TAFO,07,02,17
070100,070218,ARB Apex & Rural Banks,KOFORIDUA,07,02,18
070100,070301,ARB Apex & Rural Banks,CAPE COASTCAPE COAST,07,03,01
070100,070302,ARB Apex & Rural Banks,ENYAN DENKYIRA,07,03,02
070100,070303,ARB Apex & Rural Banks,ELMINA,07,03,03
070100,070304,ARB Apex & Rural Banks,FANTI NYANKUMASE,07,03,04
070100,070305,ARB Apex & Rural Banks,ASSIN MANSO,07,03,05
070100,070306,ARB Apex & Rural Banks,KOMENDA,07,03,06
070100,070307,ARB Apex & Rural Banks,ESSUEHYIA,07,03,07
070100,070308,ARB Apex & Rural Banks,ASSIN AKROPONG,07,03,08
070100,070309,ARB Apex & Rural Banks,TWIFO AGONA,07,03,09
070100,070310,ARB Apex & Rural Banks,BIRIWA,07,03,10
070100,070401,ARB Apex & Rural Banks,TAKORADI CENTRE-TAKORADI,07,04,01
070100,070402,ARB Apex & Rural Banks,ESIAMA,07,04,02
070100,070403,ARB Apex & Rural Banks,WASSA AKROPONG,07,04,03
070100,070404,ARB Apex & Rural Banks,AWIEBO,07,04,04
070100,070406,ARB Apex & Rural Banks,SHAMA,07,04,06
070100,070407,ARB Apex & Rural Banks,BOGOSO,07,04,07
070100,070408,ARB Apex & Rural Banks,MANSO-AMENFI,07,04,08
070100,070409,ARB Apex & Rural Banks,AGONA NKWANTA,07,04,09
070100,070410,ARB Apex & Rural Banks,WASSA AKROPONG,07,04,10
070100,070501,ARB Apex & Rural Banks,HO CENTRE-HO,07,05,01
070100,070502,ARB Apex & Rural Banks,ADIDOME,07,05,02
070100,070503,ARB Apex & Rural Banks,AKATSI,07,05,03
070100,070504,ARB Apex & Rural Banks,ZIOPE,07,05,04
070100,070505,ARB Apex & Rural Banks,KPEVE,07,05,05
070100,070506,ARB Apex & Rural Banks,HO,07,05,06
070100,070601,ARB Apex & Rural Banks,KUMASIKUMASI,07,06,01
070100,070602,ARB Apex & Rural Banks,FOASE,07,06,02
070100,070603,ARB Apex & Rural Banks,SEKYEDUMASI,07,06,03
070100,070604,ARB Apex & Rural Banks,ASOKRE,07,06,04
070100,070605,ARB Apex & Rural Banks,JUANSA,07,06,05
070100,070606,ARB Apex & Rural Banks,KWAMANG,07,06,06
070100,070607,ARB Apex & Rural Banks,FOMENA,07,06,07
070100,070608,ARB Apex & Rural Banks,KUMAWU,07,06,08
070100,070609,ARB Apex & Rural Banks,AKROFUOM,07,06,09
070100,070610,ARB Apex & Rural Banks,WIOSO,07,06,10
070100,070611,ARB Apex & Rural Banks,KUNTANASE,07,06,11
070100,070612,ARB Apex & Rural Banks,WIAMOASE,07,06,12
070100,070613,ARB Apex & Rural Banks,AYAMFURI,07,06,13
070100,070614,ARB Apex & Rural Banks,SEFWI-ASAWINSO,07,06,14
070100,070615,ARB Apex & Rural Banks,JACOBU,07,06,15
070100,070618,ARB Apex & Rural Banks,JAMASI,07,06,18
070100,070619,ARB Apex & Rural Banks,NYINAHIM,07,06,19
070100,070620,ARB Apex & Rural Banks,ANTOAKROM,07,06,20
070100,070621,ARB Apex & Rural Banks,JUABEN,07,06,21
070100,070622,ARB Apex & Rural Banks,PRANG,07,06,22
070100,070623,ARB Apex & Rural Banks,BAREKESE,07,06,23
070100,070624,ARB Apex & Rural Banks,TOASE,07,06,24
070100,070625,ARB Apex & Rural Banks,KOFIASE,07,06,25
070100,070626,ARB Apex & Rural Banks,ANKWAWSO,07,06,26
070100,070627,ARB Apex & Rural Banks,TORYA RURAL BANK LTD-BONSU-NKWANTA,07,06,27
070100,070628,ARB Apex & Rural Banks,KASEI,07,06,28
070100,070629,ARB Apex & Rural Banks,NSUTA,07,06,29
